objid,ra,dec,u,g,r,petroR50_r,petroR90_r,fracDeV_r,deVAB_r,expAB_r,redshift,u_r,u_g,g_r,C_r,morphology,morph_colorcut
1237648704053379405,213.531399257699,-0.39635077481127,20.17236,18.08408,16.99152,2.052113,5.395528,1.0,0.6698533,0.6810192,0.1397973,3.18084,2.088280000000001,1.0925599999999989,2.6292548217373994,elliptical,elliptical
1237648704059342957,227.103730525336,-0.27020772664135,19.8008,17.80576,16.80142,1.717145,6.069893,1.0,0.749947,0.7714013,0.09149182,2.9993799999999986,1.9950399999999995,1.0043399999999991,3.5348750396734117,elliptical,elliptical
1237648704589332671,211.397522720272,0.184984375149742,18.37773,16.41927,15.53273,1.983734,6.009108,0.9756356,0.5064339,0.5323469,0.04767463,2.844999999999999,1.9584599999999988,0.8865400000000001,3.0291904055684884,elliptical,elliptical
1237648703509627175,197.782266847066,-0.725086469645271,19.80903,17.7426,16.79388,2.270608,6.28336,0.9676047,0.510013,0.5012779,0.08574168,3.0151499999999984,2.0664300000000004,0.948719999999998,2.767258813498411,elliptical,elliptical
1237648703509561498,197.586668006407,-0.79356316352182,19.0912,17.1066,16.20807,2.360729,7.535674,1.0,0.946592,0.9316179,0.08565257,2.8831300000000013,1.9846000000000004,0.8985300000000009,3.1920961702931594,elliptical,elliptical
1237648704598311238,231.888686339042,0.0175648745020725,19.63163,17.42349,16.27695,2.906408,10.18836,1.0,0.7437574,0.7285942,0.1249548,3.354680000000002,2.20814,1.1465400000000017,3.5054816804798223,elliptical,elliptical
1237648703517688013,216.159998778034,-0.731849844875022,19.39956,17.76706,16.83544,2.286837,6.000508,0.7894006,0.6757175,0.6755053,0.1029651,2.5641200000000026,1.6325000000000003,0.9316200000000023,2.623933406709792,elliptical,elliptical
1237648704602439979,241.315272825839,0.13808253931769,18.74026,16.48512,15.37704,3.057816,9.810838,1.0,0.8350711,0.769448,0.06065342,3.36322,2.255140000000001,1.1080799999999993,3.208446158957897,elliptical,elliptical
1237648703510151280,198.929894905289,-0.776007546230513,19.02547,17.60372,16.85884,1.573102,4.184116,0.7193134,0.6661674,0.6616223,0.09115019,2.166629999999998,1.4217499999999994,0.7448799999999984,2.659786841539837,elliptical,spiral
1237648704602505634,241.525067045928,0.0246588938386461,19.32468,17.23575,16.21918,2.338448,7.137918,1.0,0.5148216,0.5189807,0.05793022,3.1054999999999993,2.0889300000000013,1.016569999999998,3.052416816623675,elliptical,elliptical
1237648705132233054,225.202504567531,0.492408519804585,19.15859,17.34954,16.4969,1.996271,5.537245,0.775647,0.6728315,0.6739426,0.04256609,2.66169,1.8090499999999992,0.852640000000001,2.773794239359286,elliptical,elliptical
1237648705127579670,214.452148817491,0.510947262591814,19.61438,17.92348,16.88797,1.907606,5.270885,0.9738604,0.9162451,0.9672832,0.05330114,2.7264100000000013,1.6908999999999992,1.0355100000000022,2.763088918780922,elliptical,elliptical
1237648705118273789,193.308236727998,0.525242209600838,19.4391,17.69019,16.84753,2.327297,6.740469,0.9965697,0.8832381,0.9115015,0.07009327,2.591570000000001,1.7489099999999986,0.8426600000000022,2.896265066297941,elliptical,elliptical
1237648704597000547,228.909579381977,0.175627415324448,18.95014,17.04413,16.17092,1.949293,5.734725,1.0,0.7834245,0.7773786,0.07159279,2.7792200000000022,1.906010000000002,0.8732100000000003,2.9419512613034575,elliptical,elliptical
1237648704585203814,202.021878438186,0.125257513090228,20.77166,18.29414,16.98821,2.811556,7.977412,1.0,0.8456804,0.8726832,0.1799313,3.783450000000002,2.477520000000002,1.30593,2.837365501523,elliptical,elliptical
1237648703510544542,199.835959801206,-0.762394036131301,19.40141,17.64815,16.74163,2.791381,7.577393,0.5379473,0.3148185,0.3459376,0.08888021,2.659779999999998,1.7532599999999974,0.9065200000000004,2.7145678071176955,elliptical,elliptical
1237648673994834323,242.829351255025,-0.0943714724314949,18.6699,16.70715,15.69039,2.371263,7.706428,1.0,0.8021361,0.8342836,0.08993423,2.9795099999999977,1.9627499999999998,1.0167599999999979,3.249925461663257,elliptical,elliptical
1237648702986518817,229.215310901689,-1.08790841758875,20.22816,17.9888,16.79593,2.272289,6.619705,0.9010789,0.5484003,0.5519113,0.1171143,3.4322300000000006,2.239359999999998,1.1928700000000028,2.9132319876565,elliptical,elliptical
1237648702978785290,211.473093051701,-1.20445670666722,18.76034,16.70483,15.79053,1.76781,5.712846,1.0,0.4332625,0.4420228,0.0543637,2.969809999999999,2.055509999999998,0.9143000000000008,3.2315950243521643,elliptical,elliptical
1237648704583368908,197.755118026641,0.053031603705322,18.83971,17.40578,16.50555,2.475972,8.765762,1.0,0.5428917,0.5867764,0.09618144,2.3341600000000007,1.4339300000000001,0.9002300000000005,3.540331635414294,elliptical,elliptical
1237648673995162093,243.583195948052,-0.0315641264387658,18.06095,16.20889,15.2915,2.828239,7.713156,0.5558468,0.5637525,0.5674905,0.03081088,2.769449999999999,1.852059999999998,0.917390000000001,2.7271938474789437,elliptical,elliptical
1237648704059671039,227.905039104169,-0.223445684099495,19.61234,17.65225,16.7207,1.830649,5.786618,1.0,0.7475985,0.6785631,0.09117911,2.891639999999999,1.960090000000001,0.9315499999999979,3.1609653188568645,elliptical,elliptical
1237648704594313560,222.753732612585,0.0760893530662225,18.7511,16.94146,16.08622,1.764032,5.169832,0.9527017,0.4082956,0.4386444,0.04339977,2.66488,1.8096400000000017,0.8552399999999984,2.9306905997170123,elliptical,elliptical
